,Datetime,Tweet_id,Content
59,2020-10-10 23:00:00+00:00,1315064569962741760," and the Flu spreads easiest by person-to-person contact. 

Remember the 3Ws: 
WEAR a mask in public, WASH + sanitize your hands often and WATCH your distance – stay 6 ft apart from others. Protect yourself and your family. "
60,2020-09-26 15:00:01+00:00,1309870346787487745,"It’s important our children wash their hands before + after eating, especially in the cafeteria during ! Remind your child not to share food or drinks, and to put their mask back on when done eating. 🍽️ "
61,2020-09-20 23:00:00+00:00,1307816813028421633,"Before the family goes , continue practicing safe + healthy behaviors! You can be a role model for your kids by demonstrating how to maintain physical distancing, wearing a face mask covering the nose + mouth, and by washing your hands regularly for 20 seconds. 😷 "
62,2021-01-19 15:12:01+00:00,1351547971519844353,"Today’s  dashboard update adds 6,417 cases and one death. Keep wearing a mask in public and around people who don't live with you. Wear your mask snugly (but comfortably) over your nose and mouth. More tips:  "
63,2021-01-16 15:21:43+00:00,1350463247141412864,"Today’s  dashboard update adds 8,715 cases and 208 deaths. Keep following recommended safety measures to prevent the spread: Wear a mask, physically distance, wash your hands frequently, and stay home when you are sick.   "
64,2021-01-14 15:12:02+00:00,1349736034737610753,"Today’s  dashboard update adds 7,311 cases and 182 deaths. Keep following recommended safety measures to prevent the spread: Wear a mask, physically distance, wash your hands frequently, and stay home when you are sick.   "
65,2021-01-11 15:15:02+00:00,1348649626015047686,"Today’s  dashboard update adds 8,995 cases and six deaths. : Wear your mask over your nose and mouth, secure it under your chin, and make sure it fits snugly against the sides of your face.  "
66,2021-01-06 15:12:01+00:00,1346836930525335552,"Today’s  dashboard update adds 7,237 cases and 127 deaths. Wear a mask when in public or around others not living in your household to help prevent the spread of .   "
67,2021-01-04 15:12:01+00:00,1346112152910888966,"Today’s  dashboard update adds 5,139 cases and three deaths. Keep wearing a mask around anyone who isn't part of your household, washing your hands often, and physically distancing. Remember: You are safer at home.   "
68,2021-01-02 18:00:01+00:00,1345429653956268036,"Happy New Year! Remain vigilant by following recommended safety measures to prevent the spread of : Wear a mask, physically distance, wash your hands frequently, and stay home when you are sick.  "
69,2020-12-29 15:12:00+00:00,1343937822546341888,"Today’s  dashboard update adds 2,799 cases and 171 deaths. : Wear your mask over your nose and mouth, secure it under your chin, and make sure it fits snugly against the sides of your face.  "
70,2020-12-25 15:07:40+00:00,1342487177666564098,"Today’s  dashboard update adds 6,616 cases and 115 deaths. Prevention works: Reduce the spread by wearing a mask and distancing around anyone who isn’t a member of your household. That includes relatives and close friends.  "
71,2020-12-24 19:00:01+00:00,1342183264824528896,"Gatherings with more preventive measures, such as mask-wearing, physical distancing, and handwashing, pose less risk than gatherings where preventive measures are not being implemented. 
 "
72,2020-12-23 15:12:01+00:00,1341763497680637955,"Today’s  dashboard update adds 6,058 cases and 54 deaths. Keep following the recommended safety measures: Wear a mask, socially distance, wash your hands frequently, and stay home when you are sick.   "
73,2020-12-20 00:00:00+00:00,1340446820607143937,Know someone who needs a cloth face mask? Share this info with them. ADHS is working with partners to provide free cloth face masks to help prevent the spread of COVID-19. Order here:   
